"","track_name","album_name.y","track_number","lyrics_body","duration_ms"
"25","betty","folklore (deluxe version)",14,"Betty, I won't make assumptions About why you switched your homeroom but I think it's 'cause of me Betty, one time I was riding on my skateboard When I passed your house It's like I couldn't breathe  You heard the rumors from Inez You can't believe a word she says Most times, but this time it was true The worst thing that I ever did Was what I did to you  But if I just showed up at your party Would you have me? Would you want me? Would you tell me to go fuck myself? Or lead me to the garden? In the garden would you trust me If I told you it was just a summer thing? I'm only 17, I don't know anything But I know I miss you  Betty, I know where it all went wrong Your favorite song was playing From the far side of the gym I was nowhere to be found ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",294520
"26","Bigger Than The Whole Sky","Midnights (The Til Dawn Edition)",15,"No words appear before me in the aftermath  Salt streams out my eyes and into my ears  Every single thing I touch becomes sick with sadness 'Cause it's all over now All out to sea  Goodbye, goodbye, goodbye You were bigger than the whole sky You were more than just a short time And I've got a lot to pine about I've got a lot to live without I'm never gonna meet What could've been, would've been What should've been you What could've been, would've been you  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",218502
"27","Blank Space (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2,"Nice to meet you, where you been? I could show you incredible things Magic, madness, heaven, sin Saw you there and I thought ""Oh, my God, look at that face You look like my next mistake Love's a game, wanna play?"" Ayy  New money, suit and tie I can read you like a magazine Ain't it funny? Rumors fly And I know you heard about me So, hey, let's be friends I'm dying to see how this one ends Grab your passport and my hand I can make the bad guys good for a weekend  So, it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game  'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, mm Or with a nasty scar Got a long list of ex-lovers ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",231833
"28","Breathe (feat. Colbie Caillat) (Taylor’s Version)","Fearless (Taylor's Version)",7,"I see your face in my mind as I drive away 'Cause none of us thought it was gonna end that way People are people and sometimes we change our minds But it's killing me to see you go after all this time  Mm-mm, mm-mm-mm-mm Mm-mm, mm-mm-mm-mm  The music starts playin' like the end of a sad movie It's the kinda ending you don't really wanna see 'Cause it's tragedy and it'll only bring you down Now I don't know what to be without you around  And we know it's never simple, never easy Never a clean break, no one here to save me ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",263377
"29","Bye Bye Baby (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",26,"It wasn't just like a movie The rain didn't soak through my clothes Down to my skin I'm driving away, and I I guess you could say This is the last time I'll drive this way again  Lost in the gray And I try to grab at the fray 'Cause I, I still love you but I can't  Bye-bye to everything I thought was on my side Bye-bye, baby I want you bad, but it's come down to nothing And all I have is your sympathy 'Cause you took me home, but you just couldn't keep me Bye-bye, baby Bye-bye, baby  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",242157
"30","Call It What You Want","reputation",14,"My castle crumbled overnight I brought a knife to a gun fight They took the crown, but it's alright All the liars are calling me one Nobody's heard from me for months I'm doing better than I ever was 'Cause  My baby's fit like a daydream Walking with his head down I'm the one he's walking to So call it what you want, yeah Call it what you want to  My baby's fly like a jet stream High above the whole scene Loves me like I'm brand new So call it what you want, yeah Call it what you want to  All my flowers grew back as thorns Windows boarded up after the storm He built a fire just to keep me warm All the drama queens taking swings All the jokers dressing up as kings They fade to nothing when I look at him  And I know I make the same mistakes every time Bridges burn, I never learn ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",203506
"31","cardigan","folklore (deluxe version)",2,"Vintage tee, brand new phone High heels on cobblestones When you are young, they assume you know nothing Sequin smile, black lipstick Sensual politics When you are young, they assume you know nothing But I knew you Dancin' in your Levi's Drunk under a streetlight, I I knew you Hand under my sweatshirt Baby, kiss it better, I And when I felt like I was an old cardigan Under someone's bed You put me on and said I was your favorite A friend to all is a friend to none Chase two girls, lose the one When you are young, they assume you know nothin' But I knew you ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",239560
"32","Carolina - From The Motion Picture “Where The Crawdads Sing”","Carolina (From The Motion Picture “Where The Crawdads Sing”)",1,"Oh, Carolina creeks running through my veins Lost, I was born; lonesome, I came Lonesome I'll always stay Carolina knows why for years I roam Free as these birds, light as whispers Carolina knows  And you didn't see me here No, they never did see me here And she's in my dreams  Into the mist, into the clouds Don't leave I make a fist, I make it count And there are places I will never-ever go, oh-oh-oh And things that only Carolina will ever know ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",264438
"33","Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)",20,"Once, I had an empire in a golden age I was held up so high, I used to be great They used to cheer when they saw my face Now, I fear I have fallen from grace  And I feel like my castle's crumbling down And I watch all my bridges burn to the ground And you don't want to know me I will just let you down You don't wanna know me now  Once, I was the great hope for a dynasty Crowds would hang on my words, and they trusted me Their faith was strong, but I pushed it too far ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",306062
"34","champagne problems","evermore (deluxe version)",2,"You booked the night train for a reason So you could sit there in this hurt Bustling crowds or silent sleepers You're not sure which is worse  Because I dropped your hand while dancing Left you out there standing Crestfallen on the landing Champagne problems Your mom's ring in your pocket My picture in your wallet Your heart was glass, I dropped it Champagne problems  You told your family for a reason You couldn't keep it in Your sister splashed out on the bottle Now no one's celebrating  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",244000
